"","term_name","p_value"
"108","dendrite self-avoidance",0.0196838326915545
"109","endocytosis",0.0204183137865182
"110","neurotransmitter transport",0.0209319893500953
"111","potassium ion transmembrane transport",0.0211919592214187
"112","presynaptic active zone organization",0.0220033339418667
"113","negative chemotaxis",0.0252281260363956
"114","learning or memory",0.0258642290483449
"115","animal organ development",0.0259744778392771
"116","cell development",0.0287327875616005
"117","cognition",0.0303596600709944
"118","positive regulation of transport",0.032427356393024
"119","anesthesia-resistant memory",0.0334266834358007
"120","extracellular matrix organization",0.0346965629539898
"121","amine metabolic process",0.0371138743022473
"122","signal release from synapse",0.037501566439061
"123","neurotransmitter secretion",0.037501566439061
"124","response to monoamine",0.0419857170644124
"125","cellular response to catecholamine stimulus",0.0419857170644124
"126","response to catecholamine",0.0419857170644124
"127","response to dopamine",0.0419857170644124
"128","cellular response to dopamine",0.0419857170644124
"129","cellular response to monoamine stimulus",0.0419857170644124
"130","response to endogenous stimulus",0.0422292139954636
"131","glucosamine-containing compound metabolic process",0.0488635729879862
"132","cytoskeletal matrix organization at active zone",0.0489836748736214
